,0
2008-06-09,-0.05608354012968894
2008-06-25,0.07562657085064409
2008-07-11,0.02884720404043653
2008-07-27,0.06077331236350317
2008-08-12,0.04748813584707853
2008-08-28,0.09447172822783725
2008-09-13,0.07278360856952695
2008-09-29,0.12323850331058772
2008-10-15,0.02618850504942727
2008-10-31,-0.23130850130540412
2008-11-16,0.052417189513674856
2008-12-02,0.025861570482697355
2008-12-18,-0.3184204560785635
2009-01-01,-0.292607047482908
2009-01-17,0.04843303526933526
2009-02-02,-0.2387006358431651
2009-02-18,-0.17145451249769197
2009-03-06,0.023418277989763286
2009-03-22,-0.07587123971658857
2009-04-07,-0.07532066395114517
2009-04-23,-0.0324772688062714
2009-05-09,-0.009416857269891162
2009-05-25,-0.04335298390966366
2009-06-10,-0.057328327976675614
